pecha id,language,url
PBF1BADD1,en,https://github.com/OpenPecha/PBF1BADD1
PC2E6377B,de,https://github.com/OpenPecha/PC2E6377B
P7E792DF4,es,https://github.com/OpenPecha/P7E792DF4
P0B46D434,fr,https://github.com/OpenPecha/P0B46D434
P46468394,it,https://github.com/OpenPecha/P46468394
P2D9F6638,nl,https://github.com/OpenPecha/P2D9F6638
P4A2DE330,pt,https://github.com/OpenPecha/P4A2DE330
P8ECD048D,zh,https://github.com/OpenPecha/P8ECD048D
P95488BBE,bo,https://github.com/OpenPecha/P95488BBE
